entrezA	entrezB	MIPPIE_score
12550	93840	0.3507458930771186
16842	21414	0.5317553863432598
58869	18163	0.7529407830188879
665113	18163	0.7529407830188879
224997	18163	0.8427572850047658
13132	20375	0.5317553863432598
15900	20375	0.9554734532764784
12265	20375	0.5952702815819886
15902	20375	0.7285009696669187
12398	20375	0.5317553863432598
17127	20375	0.5317553863432598
18018	20375	0.41426078831584734
14461	20375	0.5952702815819886
19260	19201	0.5317553863432598
81879	58198	0.7529407830188879
99377	58198	0.8427572850047658
23859	545156	0.7529407830188879
14812	545156	0.8782153379672103
665113	545156	0.7529407830188879
58234	545156	0.8919663429072877
238871	545156	0.7529407830188879
224997	545156	0.8919663429072877
14800	545156	0.7529407830188879
20742	545156	0.7529407830188879
18163	545156	0.7529407830188879
23859	245684	0.8164556782576167
665113	245684	0.8164556782576167
58234	245684	0.8427572850047658
224997	245684	0.8783893093242687
20742	245684	0.7529407830188879
18655	245684	0.7529407830188879
545156	245684	0.7529407830188879
14254	14254	0.41426078831584734
14960	14961	0.9631124750821688
15900	16149	0.5952702815819886
14960	16149	0.5952702815819886
14961	16149	0.41426078831584734
72433	12505	0.5317553863432598
67844	12505	0.5317553863432598
15364	12505	0.4436502110608205
19264	12505	0.4159054415340088
21812	12505	0.9415056410447586
16149	12505	0.7920158649056475
224997	18951	0.8427572850047658
18783	16416	0.7529407830188879
20963	16416	0.5952702815819886
13649	16416	0.5317553863432598
20779	16416	0.8164556782576167
94212	16414	0.5317553863432598
16409	16414	0.8028840503613737
94212	108101	0.5317553863432598
20430	108101	0.7529407830188879
16416	108101	0.3507458930771186
16414	108101	0.3507458930771186
68151	22415	0.81463342828038
17886	69903	0.3507458930771186
17096	14126	0.6222702117077465
14461	14126	0.5952702815819886
14828	16019	0.5317553863432598
16019	16019	0.839956876770785
18033	16362	0.7489496355989168
14469	16362	0.5317553863432598
15900	16362	0.9554773961349984
12703	16362	0.47942033677273754
12265	16362	0.9000116818472929
16159	16362	0.9062721802434944
269608	75723	0.7285009696669187
269608	27494	0.5304320922945716
75723	27494	0.41426078831584734
14812	12695	0.7431700716274434
14811	12695	0.8917673688125785
11461	12695	0.5317553863432598
13162	12695	0.7114415855607127
22142	12695	0.5317553863432598
269608	12695	0.5317553863432598
75723	12695	0.7285009696669187
27494	12695	0.9243441048334052
12740	17475	0.5317553863432598
224997	17475	0.8427572850047658
15165	17475	0.7529407830188879
269608	17475	0.7114415855607127
75723	17475	0.889016508974835
27494	17475	0.7452389946036517
20779	270190	0.3507458930771186
270190	108699	0.3507458930771186
17127	14463	0.8419329113889236
